"filename", "language", "JSON", "JavaScript", "HTML", "SQL", "CSS", "comment", "blank", "total"
"c:\3005\COMP3005Final\SQL\initdb.sql", "SQL", 0, 0, 0, 102, 0, 2, 18, 122
"c:\3005\COMP3005Final\config\db.js", "JavaScript", 0, 9, 0, 0, 0, 0, 3, 12
"c:\3005\COMP3005Final\jsdoc.json", "JSON", 17, 0, 0, 0, 0, 0, 1, 18
"c:\3005\COMP3005Final\package-lock.json", "JSON", 1240, 0, 0, 0, 0, 0, 1, 1241
"c:\3005\COMP3005Final\package.json", "JSON", 21, 0, 0, 0, 0, 0, 1, 22
"c:\3005\COMP3005Final\public\css\styles.css", "CSS", 0, 0, 0, 0, 48, 0, 8, 56
"c:\3005\COMP3005Final\public\js\admin.js", "JavaScript", 0, 62, 0, 0, 0, 2, 8, 72
"c:\3005\COMP3005Final\public\js\bookTrainingSession.js", "JavaScript", 0, 28, 0, 0, 0, 0, 3, 31
"c:\3005\COMP3005Final\public\js\joinFitnessClass.js", "JavaScript", 0, 24, 0, 0, 0, 0, 3, 27
"c:\3005\COMP3005Final\public\js\memberlogin.js", "JavaScript", 0, 203, 0, 0, 0, 13, 38, 254
"c:\3005\COMP3005Final\public\js\searchMembers.js", "JavaScript", 0, 25, 0, 0, 0, 0, 2, 27
"c:\3005\COMP3005Final\public\js\trainerSchedule.js", "JavaScript", 0, 72, 0, 0, 0, 0, 5, 77
"c:\3005\COMP3005Final\public\js\updateProfile.js", "JavaScript", 0, 61, 0, 0, 0, 1, 8, 70
"c:\3005\COMP3005Final\src\app.js", "JavaScript", 0, 47, 0, 0, 0, 5, 14, 66
"c:\3005\COMP3005Final\src\models\adminStaff.js", "JavaScript", 0, 35, 0, 0, 0, 33, 8, 76
"c:\3005\COMP3005Final\src\models\equipment.js", "JavaScript", 0, 32, 0, 0, 0, 33, 8, 73
"c:\3005\COMP3005Final\src\models\fitnessClass.js", "JavaScript", 0, 34, 0, 0, 0, 35, 8, 77
"c:\3005\COMP3005Final\src\models\member.js", "JavaScript", 0, 185, 0, 0, 0, 61, 32, 278
"c:\3005\COMP3005Final\src\models\payment.js", "JavaScript", 0, 32, 0, 0, 0, 35, 8, 75
"c:\3005\COMP3005Final\src\models\personalTrainingSession.js", "JavaScript", 0, 61, 0, 0, 0, 37, 14, 112
"c:\3005\COMP3005Final\src\models\room.js", "JavaScript", 0, 48, 0, 0, 0, 33, 10, 91
"c:\3005\COMP3005Final\src\models\trainer.js", "JavaScript", 0, 39, 0, 0, 0, 0, 6, 45
"c:\3005\COMP3005Final\src\routes\adminRoutes.js", "JavaScript", 0, 28, 0, 0, 0, 2, 5, 35
"c:\3005\COMP3005Final\src\routes\fitnessClassRoutes.js", "JavaScript", 0, 15, 0, 0, 0, 0, 3, 18
"c:\3005\COMP3005Final\src\routes\memberRoutes.js", "JavaScript", 0, 169, 0, 0, 0, 9, 32, 210
"c:\3005\COMP3005Final\src\routes\trainerRoutes.js", "JavaScript", 0, 43, 0, 0, 0, 4, 8, 55
"c:\3005\COMP3005Final\views\admin.ejs", "HTML", 0, 0, 81, 0, 0, 1, 19, 101
"c:\3005\COMP3005Final\views\footer.ejs", "HTML", 0, 0, 5, 0, 0, 0, 1, 6
"c:\3005\COMP3005Final\views\header.ejs", "HTML", 0, 0, 18, 0, 0, 0, 1, 19
"c:\3005\COMP3005Final\views\index.ejs", "HTML", 0, 0, 6, 0, 0, 0, 3, 9
"c:\3005\COMP3005Final\views\member.ejs", "HTML", 0, 0, 95, 0, 0, 2, 11, 108
"c:\3005\COMP3005Final\views\trainer.ejs", "HTML", 0, 0, 32, 0, 0, 0, 5, 37
"Total", "-", 1278, 1252, 237, 102, 48, 308, 295, 3520
